ensembl_gene_id,logFC,logCPM,F,PValue,FDR,gene_symbol,cellranger_version,pseudobulk,gene,gene2,gene3
ENSG00000111348,0.649580947,9.016752862,1873.390727,3.5e-323,3.286e-321,ARHGDIB,v3,FALSE,Cytb,Arhgdib,CYTB
ENSG00000140941,0.944448902,8.893977543,1522.686881,7e-323,6.536e-321,MAP1LC3B,v3,FALSE,Cstb,Map1lc3b,CSTB
ENSG00000198727,0.69969966,11.69583036,1512.543284,8.295e-321,7.80006e-319,CYTB,v3,FALSE,Cldn1,Cytb,CLDN1
ENSG00000160213,0.710236674,11.24372212,1505.111209,2.73747e-319,2.56164e-317,CSTB,v3,FALSE,Tubb2a,Cstb,TUBB2A
ENSG00000163347,0.876601272,8.740773478,2907.039484,8.5560827e-316,7.855452541e-314,CLDN1,v3,FALSE,Plk3,Cldn1,PLK3
ENSG00000137267,1.013535677,8.696574393,1835.710928,1.861620036e-315,1.7011536325e-313,TUBB2A,v3,FALSE,Chi3l2,Tubb2a,CHI3L2
ENSG00000173846,1.040890102,8.616161338,2968.732498,6.819824915e-315,6.20285383876e-313,PLK3,v3,FALSE,Rpl22l1,Plk3,RPL22L1
ENSG00000064886,0.786201577,9.458806256,1479.207125,5.410846667e-314,4.898452070994e-312,CHI3L2,v3,FALSE,Cd82,Chi3l2,CD82
ENSG00000163584,0.875431564,8.963009029,1468.580275,8.080601465744e-312,7.27896485930726e-310,RPL22L1,v3,FALSE,Slc38a2,Rpl22l1,SLC38A2
ENSG00000085117,0.824700375,8.816414784,1468.595622,8.11516324738e-312,7.27896485930726e-310,CD82,v3,FALSE,Na,Cd82,NA
ENSG00000134294,0.955316763,8.765353171,1634.023779,8.72101619589787e-310,7.75E-308,SLC38A2,v3,FALSE,Atf4,Slc38a2,ATF4
ENSG00000276900,1.01679815,8.614630478,2706.957684,2.27E-308,2.01E-306,NA,v3,FALSE,Ppp1r15b,Na,PPP1R15B
ENSG00000128272,0.879624189,8.993260704,1433.526992,1.22E-304,1.07E-302,ATF4,v3,FALSE,Loc284454,Atf4,LOC284454
ENSG00000158615,0.999198152,8.676208775,1969.161775,1.38E-302,1.21E-300,PPP1R15B,v3,FALSE,Ywhaz,Ppp1r15b,YWHAZ
ENSG00000267519,1.002520407,8.644292798,2069.414687,7.86E-302,6.86E-300,LOC284454,v3,FALSE,Pck1,Loc284454,PCK1
ENSG00000164924,0.670051027,9.536513243,1419.080838,1.11E-301,9.68E-300,YWHAZ,v3,FALSE,Bambi,Ywhaz,BAMBI
ENSG00000124253,0.719499701,8.55828215,4621.991306,2.78E-300,2.40E-298,PCK1,v3,FALSE,Sod2,Pck1,SOD2
ENSG00000095739,0.878916737,9.030352459,1409.717583,9.27E-300,7.99E-298,BAMBI,v3,FALSE,Egot,Bambi,EGOT
ENSG00000112096,0.932909968,8.710652233,1524.633649,3.31E-298,2.83E-296,SOD2,v3,FALSE,Hist1h2bn,Sod2,HIST1H2BN
ENSG00000235947,0.988441949,8.571665956,4210.176696,1.71E-297,1.45E-295,EGOT,v3,FALSE,Slc25a25,Egot,SLC25A25
ENSG00000233822,0.990414978,8.681269359,1766.686926,1.17E-296,9.88E-295,HIST1H2BN,v3,FALSE,Npdc1,Hist1h2bn,NPDC1
ENSG00000148339,0.953092086,8.579193692,3741.822817,3.38E-294,2.85E-292,SLC25A25,v3,FALSE,Linc00346,Slc25a25,LINC00346
ENSG00000107281,0.823940141,8.709370594,2240.240257,3.60E-293,3.02E-291,NPDC1,v3,FALSE,Atp6,Npdc1,ATP6
ENSG00000255874,0.95275186,8.579260556,4335.236651,1.59E-290,1.33E-288,LINC00346,v3,FALSE,Snhg8,Linc00346,SNHG8
ENSG00000198899,0.615872902,12.16278909,1362.757621,4.06E-290,3.38E-288,ATP6,v3,FALSE,Sfn,Atp6,SFN
ENSG00000269893,0.854462136,9.116772123,1358.986441,2.42E-289,2.00E-287,SNHG8,v3,FALSE,Myadm,Snhg8,MYADM
ENSG00000175793,0.90793635,8.843171147,1357.19982,5.64E-289,4.65E-287,SFN,v3,FALSE,Snhg15,Sfn,SNHG15
ENSG00000179820,1.040288591,8.631107586,2309.687337,1.14E-288,9.36E-287,MYADM,v3,FALSE,Ing1,Myadm,ING1
ENSG00000232956,0.871221567,8.802164692,1342.696034,5.41E-286,4.43E-284,SNHG15,v3,FALSE,Zfp36l2,Snhg15,ZFP36L2
ENSG00000153487,0.98604089,8.655851284,2023.851264,1.01E-282,8.23E-281,ING1,v3,FALSE,Mylip,Ing1,MYLIP
ENSG00000152518,0.758242192,9.464412982,1319.268667,3.58E-281,2.88E-279,ZFP36L2,v3,FALSE,Nfe2l2,Zfp36l2,NFE2L2
ENSG00000007944,0.86072269,8.669373302,1630.841621,7.23E-281,5.79E-279,MYLIP,v3,FALSE,Tstd1,Mylip,TSTD1
ENSG00000116044,0.805920021,8.779207026,1320.769732,3.31E-280,2.64E-278,NFE2L2,v3,FALSE,Rcan1,Nfe2l2,RCAN1
ENSG00000215845,0.69559754,9.343003527,1314.016218,4.32E-280,3.43E-278,TSTD1,v3,FALSE,Egr2,Tstd1,EGR2
ENSG00000159200,0.853095524,8.976384427,1310.509918,2.28E-279,1.80E-277,RCAN1,v3,FALSE,Lypd3,Rcan1,LYPD3
ENSG00000122877,0.825521315,8.559996041,5439.315884,4.78E-278,3.77E-276,EGR2,v3,FALSE,Hspa5,Egr2,HSPA5
ENSG00000124466,0.957262014,9.2513333,1295.899964,2.33E-276,1.83E-274,LYPD3,v3,FALSE,Hnrnpa2b1,Lypd3,HNRNPA2B1
